# Collisional Ionization Equilibrium (CIE) Ion Fractions
#
# This file provides temperature-dependent ion fraction data for a set of
# astrophysically relevant elements under the assumption of collisional
# ionization equilibrium (CIE). The ion fractions represent the fractional
# abundance of each ionisation stage as a function of logarithmic temperature.
# The data are computed using the non-equilibrium multi-ion framework described in:
# Mathew, A., Mackey, J., Celeste, M., Haworth, T. J., & Mellema, G. (2025),
# A&A, 695, A73, doi:10.1051/0004-6361/202452373.
#
# This dataset is generated using the NEMOv1 framework coupled with the PION MHD code.
#
# Units:
#   Temperature: Kelvin (log10 scale)
#   Ion fractions: dimensionless
#
# Format:
#   log_T  h_1 h_2 he_1 he_2 he_3 ... fe_27
#
# All ion fractions are normalised such that, for each element:
#   sum_i f_i = 1
#
log_T h_1 h_2 he_1 he_2 he_3 c_1 c_2 c_3 c_4 c_5 c_6 c_7 n_1 n_2 n_3 n_4 n_5 n_6 n_7 n_8 o_1 o_2 o_3 o_4 o_5 o_6 o_7 o_8 o_9 ne_1 ne_2 ne_3 ne_4 ne_5 ne_6 ne_7 ne_8 ne_9 ne_10 ne_11 si_1 si_2 si_3 si_4 si_5 si_6 si_7 si_8 si_9 si_10 si_11 si_12 si_13 si_14 si_15 s_1 s_2 s_3 s_4 s_5 s_6 s_7 s_8 s_9 s_10 s_11 s_12 s_13 s_14 s_15 s_16 s_17 fe_1 fe_2 fe_3 fe_4 fe_5 fe_6 fe_7 fe_8 fe_9 fe_10 fe_11 fe_12 fe_13 fe_14 fe_15 fe_16 fe_17 fe_18 fe_19 fe_20 fe_21 fe_22 fe_23 fe_24 fe_25 fe_26 fe_27
1.49999978e+00 9.99999475e-01 5.25085993e-07 9.99999572e-01 4.27676441e-07 1.00012604e-12 9.99999837e-01 1.62538954e-07 9.51739260e-12 4.51815872e-12 2.82716431e-12 1.53662801e-12 9.99901675e-13 9.99999914e-01 8.57630924e-08 8.79053068e-12 5.54014761e-12 3.47748640e-12 2.46088732e-12 1.46114686e-12 9.99945565e-13 9.99999464e-01 5.36162071e-07 5.02540206e-12 6.80340012e-12 4.04345726e-12 2.91369579e-12 2.21047667e-12 1.40408698e-12 9.99951196e-13 9.99999675e-01 3.24993452e-07 2.19121215e-11 1.29416825e-11 6.10990392e-12 4.11782187e-12 2.76232943e-12 2.31426925e-12 1.94076796e-12 1.33470572e-12 9.99988732e-13 9.99999938e-01 6.18306013e-08 9.90016448e-12 3.19006096e-11 1.82457584e-11 9.76094142e-12 6.24644049e-12 4.34822621e-12 3.09771871e-12 2.47593714e-12 2.00073255e-12 1.85465200e-12 1.70186859e-12 1.27308715e-12 1.00004804e-12 9.99999509e-01 4.91108296e-07 1.49571259e-11 3.68538043e-11 2.07946786e-11 1.36568284e-11 9.90608412e-12 6.27825732e-12 4.35575004e-12 3.35578640e-12 2.65148252e-12 2.17920421e-12 1.83789364e-12 1.73557495e-12 1.63471125e-12 1.25260046e-12 1.00007140e-12 9.99999674e-01 3.25159593e-07 1.35880706e-10 7.26559191e-11 4.42778976e-11 2.12553171e-11 1.08320187e-11 6.13829655e-12 6.92899424e-12 2.58415600e-12 1.80488440e-12 1.56667541e-12 5.00530045e-12 4.50456770e-12 4.22670350e-12 3.92257142e-12 3.59259750e-12 2.89141187e-12 2.45385067e-12 2.11362297e-12 1.83704035e-12 1.62053473e-12 1.42090589e-12 1.44177545e-12 1.46749826e-12 1.18628788e-12 9.99970966e-13
1.50732399e+00 9.99999469e-01 5.30905558e-07 9.99999568e-01 4.32195210e-07 1.00012810e-12 9.99999835e-01 1.64552275e-07 9.52517542e-12 4.51885567e-12 2.82643882e-12 1.53643731e-12 9.99832610e-13 9.99999913e-01 8.68798855e-08 8.72523999e-12 5.54305366e-12 3.47789030e-12 2.46025565e-12 1.46096652e-12 9.99918531e-13 9.99999458e-01 5.42218633e-07 4.99577629e-12 6.77260492e-12 4.04784389e-12 2.91399263e-12 2.21008132e-12 1.40398495e-12 1.00002198e-12 9.99999671e-01 3.28551391e-07 2.18638658e-11 1.29586130e-11 6.07999486e-12 4.12108658e-12 2.76493950e-12 2.31444160e-12 1.94041393e-12 1.33458800e-12 1.00006093e-12 9.99999938e-01 6.20791944e-08 9.51769062e-12 3.19273883e-11 1.82537956e-11 9.76730409e-12 6.25004566e-12 4.35074542e-12 3.10027461e-12 2.47743707e-12 2.00182775e-12 1.85474417e-12 1.70163659e-12 1.27299900e-12 1.00018977e-12 9.99999504e-01 4.95850211e-07 1.48232223e-11 3.68958331e-11 2.08139401e-11 1.36633417e-11 9.90768569e-12 6.28061296e-12 4.35816438e-12 3.35740836e-12 2.65269773e-12 2.18010233e-12 1.83857681e-12 1.73564601e-12 1.63453660e-12 1.25245204e-12 1.00008135e-12 9.99999669e-01 3.30190456e-07 1.36594362e-10 7.29170488e-11 4.43912114e-11 2.13115437e-11 1.08624709e-11 6.15607929e-12 6.93052498e-12 2.59211559e-12 1.81056580e-12 1.57115834e-12 5.00821578e-12 4.50588414e-12 4.22710450e-12 3.92251863e-12 3.59230687e-12 2.89138310e-12 2.45389655e-12 2.11373558e-12 1.83721682e-12 1.62071687e-12 1.42117423e-12 1.44166557e-12 1.46716133e-12 1.18606116e-12 9.99927327e-13
1.51464821e+00 9.99999464e-01 5.36458770e-07 9.99999563e-01 4.36512969e-07 1.00013926e-12 9.99999833e-01 1.66484792e-07 9.53271944e-12 4.51971396e-12 2.82588791e-12 1.53632753e-12 1.00005036e-12 9.99999912e-01 8.79482016e-08 8.66715070e-12 5.54588096e-12 3.47836428e-12 2.45972857e-12 1.46083591e-12 9.99933017e-13 9.99999452e-01 5.48001986e-07 4.97210550e-12 6.73935000e-12 4.05183790e-12 2.91423597e-12 2.20968088e-12 1.40386945e-12 1.00002564e-12 9.99999668e-01 3.32036820e-07 2.18274329e-11 1.29743634e-11 6.04413623e-12 4.12413703e-12 2.76737140e-12 2.31461051e-12 1.94008437e-12 1.33448078e-12 1.00001773e-12 9.99999938e-01 6.23068635e-08 9.16536752e-12 3.19508485e-11 1.82603746e-11 9.77274321e-12 6.25299958e-12 4.35286364e-12 3.10248774e-12 2.47870166e-12 2.00274072e-12 1.85472453e-12 1.70131831e-12 1.27283850e-12 1.00021430e-12 9.99999499e-01 5.00386535e-07 1.47127193e-11 3.69334607e-11 2.08321941e-11 1.36700703e-11 9.90986451e-12 6.28333290e-12 4.36078555e-12 3.35917920e-12 2.65397957e-12 2.18097000e-12 1.83912267e-12 1.73550927e-12 1.63413557e-12 1.25224705e-12 9.99804194e-13 9.99999665e-01 3.34968102e-07 1.37255909e-10 7.31595634e-11 4.44970314e-11 2.13648763e-11 1.08916040e-11 6.17312886e-12 6.93248479e-12 2.59973842e-12 1.81600143e-12 1.57545773e-12 5.01125664e-12 4.50732934e-12 4.22759836e-12 3.92250951e-12 3.59204008e-12 2.89137714e-12 2.45398558e-12 2.11389851e-12 1.83743540e-12 1.62093353e-12 1.42147611e-12 1.44163868e-12 1.46696592e-12 1.18596408e-12 9.99855415e-13
1.52197242e+00 9.99999458e-01 5.42142118e-07 9.99999559e-01 4.40929627e-07 9.99867371e-13 9.99999832e-01 1.68468897e-07 9.54044782e-12 4.52062291e-12 2.82534945e-12 1.53622785e-12 9.99926391e-13 9.99999911e-01 8.90453304e-08 8.60936421e-12 5.54886436e-12 3.47891744e-12 2.45924188e-12 1.46073325e-12 9.99989567e-13 9.99999446e-01 5.53923618e-07 4.94869566e-12 6.70465690e-12 4.05568292e-12 2.91433077e-12 2.20915706e-12 1.40367745e-12 1.00015275e-12 9.99999664e-01 3.35621891e-07 2.17922047e-11 1.29904698e-11 6.00664027e-12 4.12726554e-12 2.76986190e-12 2.31479671e-12 1.93976044e-12 1.33437975e-12 1.00005347e-12 9.99999937e-01 6.25355663e-08 8.82917360e-12 3.19737426e-11 1.82664971e-11 9.77797131e-12 6.25579189e-12 4.35488037e-12 3.10464030e-12 2.47990902e-12 2.00360553e-12 1.85464462e-12 1.70093929e-12 1.27264002e-12 9.99949810e-13 9.99999495e-01 5.05021457e-07 1.46050627e-11 3.69732467e-11 2.08517589e-11 1.36773284e-11 9.91180577e-12 6.28555208e-12 4.36305309e-12 3.36079241e-12 2.65525960e-12 2.18191829e-12 1.83977699e-12 1.73547899e-12 1.63382512e-12 1.25208897e-12 9.99801888e-13 9.99999660e-01 3.39885391e-07 1.37936005e-10 7.34098137e-11 4.46063246e-11 2.14193551e-11 1.09211205e-11 6.19038948e-12 6.93435300e-12 2.60750594e-12 1.82155868e-12 1.57986665e-12 5.01445481e-12 4.50903850e-12 4.22849216e-12 3.92302692e-12 3.59237090e-12 2.89190161e-12 2.45451750e-12 2.11441613e-12 1.83793199e-12 1.62136382e-12 1.42193519e-12 1.44173040e-12 1.46685345e-12 1.18592054e-12 1.00004229e-12
1.52929664e+00 9.99999452e-01 5.48046980e-07 9.99999554e-01 4.45514025e-07 1.00013900e-12 9.99999829e-01 1.70535851e-07 9.54837939e-12 4.52152325e-12 2.82476580e-12 1.53611020e-12 9.99810918e-13 9.99999910e-01 9.01895567e-08 8.54973876e-12 5.55158215e-12 3.47925510e-12 2.45857158e-12 1.46052730e-12 1.00000826e-12 9.99999440e-01 5.60078717e-07 4.92526151e-12 6.66988538e-12 4.06015192e-12 2.91477276e-12 2.20887534e-12 1.40364532e-12 9.99932751e-13 9.99999661e-01 3.39348232e-07 2.17540560e-11 1.30061165e-11 5.96781223e-12 4.13016937e-12 2.77221678e-12 2.31479873e-12 1.93926527e-12 1.33416256e-12 1.00015742e-12 9.99999937e-01 6.27698924e-08 8.50673834e-12 3.19997260e-11 1.82741229e-11 9.78407673e-12 6.25912479e-12 4.35727614e-12 3.10709013e-12 2.48133443e-12 2.00464237e-12 1.85469207e-12 1.70066627e-12 1.27251949e-12 9.99980836e-13 9.99999490e-01 5.09824173e-07 1.44946827e-11 3.70129071e-11 2.08709023e-11 1.36841437e-11 9.91369871e-12 6.28804636e-12 4.36551954e-12 3.36244711e-12 2.65650502e-12 2.18283557e-12 1.84044497e-12 1.73548985e-12 1.63357453e-12 1.25198543e-12 1.00005875e-12 9.99999655e-01 3.45036806e-07 1.38643505e-10 7.36683879e-11 4.47195602e-11 2.14763526e-11 1.09520475e-11 6.20837146e-12 6.93616700e-12 2.61547010e-12 1.82723182e-12 1.58433697e-12 5.01733402e-12 4.51022728e-12 4.22866793e-12 3.92266688e-12 3.59173275e-12 2.89157313e-12 2.45431713e-12 2.11433578e-12 1.83796728e-12 1.62145979e-12 1.42218109e-12 1.44166826e-12 1.46663878e-12 1.18580648e-12 9.99897177e-13
1.53662086e+00 9.99999446e-01 5.54063844e-07 9.99999550e-01 4.50183166e-07 1.00002882e-12 9.99999827e-01 1.72649542e-07 9.55646146e-12 4.52247496e-12 2.82420021e-12 1.53600452e-12 1.00003679e-12 9.99999909e-01 9.13598571e-08 8.49128945e-12 5.55465312e-12 3.47980314e-12 2.45803832e-12 1.46040521e-12 1.00012540e-12 9.99999434e-01 5.66353603e-07 4.90209241e-12 6.63326245e-12 4.06420772e-12 2.91489124e-12 2.20834020e-12 1.40345215e-12 9.99943973e-13 9.99999657e-01 3.43166037e-07 2.17190014e-11 1.30227985e-11 5.92727964e-12 4.13337720e-12 2.77477980e-12 2.31495268e-12 1.93889065e-12 1.33403231e-12 1.00003212e-12 9.99999937e-01 6.30038975e-08 8.20020679e-12 3.20247019e-11 1.82810704e-11 9.78984245e-12 6.26219951e-12 4.35951399e-12 3.10943539e-12 2.48267002e-12 2.00560526e-12 1.85465939e-12 1.70031527e-12 1.27234239e-12 1.00005699e-12 9.99999485e-01 5.14710349e-07 1.43880974e-11 3.70536010e-11 2.08906555e-11 1.36911952e-11 9.91558185e-12 6.29053023e-12 4.36808532e-12 3.36428343e-12 2.65795813e-12 2.18392905e-12 1.84122389e-12 1.73554600e-12 1.63331667e-12 1.25183087e-12 9.99817822e-13 9.99999649e-01 3.50315219e-07 1.39365001e-10 7.39305339e-11 4.48324273e-11 2.15323071e-11 1.09825843e-11 6.22639817e-12 6.93799881e-12 2.62366849e-12 1.83310171e-12 1.58898883e-12 5.02065178e-12 4.51194410e-12 4.22946155e-12 3.92299217e-12 3.59181704e-12 2.89189798e-12 2.45470827e-12 2.11476875e-12 1.83841717e-12 1.62186010e-12 1.42262164e-12 1.44172357e-12 1.46647803e-12 1.18571881e-12 9.99870152e-13
1.54394507e+00 9.99999440e-01 5.59834254e-07 9.99999545e-01 4.54666485e-07 9.99991078e-13 9.99999825e-01 1.74689264e-07 9.56384901e-12 4.52334551e-12 2.82365171e-12 1.53589547e-12 1.00003277e-12 9.99999907e-01 9.24857528e-08 8.43932521e-12 5.55755997e-12 3.48035692e-12 2.45755976e-12 1.46030506e-12 9.99987669e-13 9.99999428e-01 5.72375230e-07 4.88413208e-12 6.59516863e-12 4.06811097e-12 2.91510857e-12 2.20791276e-12 1.40332100e-12 9.99948084e-13 9.99999653e-01 3.46907337e-07 2.16945491e-11 1.30386377e-11 5.88124810e-12 4.13646430e-12 2.77723073e-12 2.31514622e-12 1.93857433e-12 1.33393512e-12 9.99942394e-13 9.99999937e-01 6.32196404e-08 7.91942684e-12 3.20484487e-11 1.82877219e-11 9.79531674e-12 6.26498973e-12 4.36163205e-12 3.11164292e-12 2.48393101e-12 2.00651518e-12 1.85463025e-12 1.69998264e-12 1.27217344e-12 9.99787067e-13 9.99999480e-01 5.19407198e-07 1.43014477e-11 3.70913276e-11 2.09099550e-11 1.36984511e-11 9.91782719e-12 6.29304583e-12 4.37045293e-12 3.36583427e-12 2.65908129e-12 2.18471496e-12 1.84178577e-12 1.73552617e-12 1.63310947e-12 1.25177812e-12 1.00019019e-12 9.99999644e-01 3.55355324e-07 1.40034384e-10 7.41755834e-11 4.49387202e-11 2.15852324e-11 1.10113944e-11 6.24330007e-12 6.93958993e-12 2.63125634e-12 1.83852341e-12 1.59327480e-12 5.02345872e-12 4.51320937e-12 4.22983413e-12 3.92292261e-12 3.59153036e-12 2.89188647e-12 2.45477698e-12 2.11490163e-12 1.83861901e-12 1.62209448e-12 1.42298502e-12 1.44179941e-12 1.46642936e-12 1.18579062e-12 1.00010799e-12
1.55126929e+00 9.99999434e-01 5.65827401e-07 9.99999541e-01 4.59318581e-07 1.00022662e-12 9.99999823e-01 1.76813713e-07 9.57155220e-12 4.52426633e-12 2.82309561e-12 1.53578931e-12 1.00009113e-12 9.99999906e-01 9.36596240e-08 8.38608646e-12 5.56050911e-12 3.48089044e-12 2.45703610e-12 1.46018339e-12 9.99931549e-13 9.99999421e-01 5.78632061e-07 4.86569698e-12 6.55621595e-12 4.07217872e-12 2.91534690e-12 2.20748042e-12 1.40319076e-12 1.00003901e-12 9.99999649e-01 3.50796889e-07 2.16677019e-11 1.30541131e-11 5.83391822e-12 4.13936007e-12 2.77956774e-12 2.31517622e-12 1.93810442e-12 1.33373641e-12 9.99892806e-13 9.99999936e-01 6.34405785e-08 7.64897443e-12 3.20755496e-11 1.82960295e-11 9.80174875e-12 6.26836607e-12 4.36416465e-12 3.11417238e-12 2.48543012e-12 2.00761342e-12 1.85474386e-12 1.69977024e-12 1.27209657e-12 9.99975729e-13 9.99999476e-01 5.24272752e-07 1.42126261e-11 3.71296370e-11 2.09293213e-11 1.37054517e-11 9.91976585e-12 6.29553364e-12 4.37293202e-12 3.36752694e-12 2.66036430e-12 2.18564875e-12 1.84243293e-12 1.73547302e-12 1.63275316e-12 1.25158061e-12 1.00018057e-12 9.99999639e-01 3.60632306e-07 1.40736492e-10 7.44304501e-11 4.50491660e-11 2.16405336e-11 1.10414379e-11 6.26094391e-12 6.94133768e-12 2.63920416e-12 1.84420233e-12 1.59776330e-12 5.02645470e-12 4.51458292e-12 4.23026522e-12 3.92289476e-12 3.59130297e-12 2.89198510e-12 2.45500780e-12 2.11523008e-12 1.83900868e-12 1.62246396e-12 1.42340725e-12 1.44184263e-12 1.46625410e-12 1.18568039e-12 1.00011561e-12
1.55859351e+00 9.99999428e-01 5.72055533e-07 9.99999536e-01 4.64148467e-07 1.00021493e-12 9.99999821e-01 1.79027960e-07 9.57960628e-12 4.52524876e-12 2.82253701e-12 1.53568779e-12 1.00017047e-12 9.99999905e-01 9.48844259e-08 8.33159682e-12 5.56354229e-12 3.48142741e-12 2.45648258e-12 1.46005087e-12 9.99958773e-13 9.99999415e-01 5.85137209e-07 4.84689753e-12 6.51653245e-12 4.07650723e-12 2.91568242e-12 2.20711504e-12 1.40311490e-12 1.00024586e-12 9.99999645e-01 3.54843115e-07 2.16422662e-11 1.30715701e-11 5.78630837e-12 4.14280407e-12 2.78228824e-12 2.31545348e-12 1.93782397e-12 1.33367241e-12 1.00005483e-12 9.99999936e-01 6.36668618e-08 7.38689087e-12 3.20998118e-11 1.83024467e-11 9.80724239e-12 6.27111454e-12 4.36626694e-12 3.11642228e-12 2.48668629e-12 2.00851119e-12 1.85463944e-12 1.69934712e-12 1.27186917e-12 9.99893615e-13 9.99999471e-01 5.29315515e-07 1.41220345e-11 3.71699758e-11 2.09497288e-11 1.37128855e-11 9.92185934e-12 6.29806770e-12 4.37542215e-12 3.36923445e-12 2.66168011e-12 2.18660560e-12 1.84308231e-12 1.73539403e-12 1.63236814e-12 1.25135057e-12 9.99900478e-13 9.99999633e-01 3.66162456e-07 1.41468354e-10 7.46955014e-11 4.51638485e-11 2.16983661e-11 1.10731979e-11 6.27959623e-12 6.94343072e-12 2.64758005e-12 1.85018546e-12 1.60249342e-12 5.02973277e-12 4.51612806e-12 4.23075830e-12 3.92280213e-12 3.59087308e-12 2.89179812e-12 2.45489772e-12 2.11520946e-12 1.83910244e-12 1.62264612e-12 1.42378951e-12 1.44197755e-12 1.46629994e-12 1.18578095e-12 1.00000061e-12
1.56591772e+00 9.99999422e-01 5.78187162e-07 9.99999531e-01 4.68905513e-07 1.00013976e-12 9.99999819e-01 1.81219694e-07 9.58722382e-12 4.52615644e-12 2.82196532e-12 1.53557333e-12 1.00005079e-12 9.99999904e-01 9.60950956e-08 8.28068412e-12 5.56620190e-12 3.48178807e-12 2.45582934e-12 1.45985431e-12 1.00000373e-12 9.99999408e-01 5.91544991e-07 4.83085151e-12 6.47561917e-12 4.08059303e-12 2.91593430e-12 2.20667307e-12 1.40295980e-12 1.00020970e-12 9.99999641e-01 3.58876332e-07 2.16220461e-11 1.30879463e-11 5.73449621e-12 4.14597895e-12 2.78481242e-12 2.31563458e-12 1.93747487e-12 1.33355807e-12 9.99955981e-13 9.99999936e-01 6.38837815e-08 7.14480669e-12 3.21271799e-11 1.83108278e-11 9.81372009e-12 6.27437737e-12 4.36881084e-12 3.11896067e-12 2.48819038e-12 2.00961283e-12 1.85474887e-12 1.69912683e-12 1.27178945e-12 9.99948927e-13 9.99999466e-01 5.34282799e-07 1.40417455e-11 3.72046630e-11 2.09678011e-11 1.37190591e-11 9.92319159e-12 6.30019836e-12 4.37768068e-12 3.37075134e-12 2.66280477e-12 2.18740886e-12 1.84365429e-12 1.73532910e-12 1.63206409e-12 1.25120677e-12 9.99793336e-13 9.99999628e-01 3.71607954e-07 1.42180112e-10 7.49546795e-11 4.52755334e-11 2.17537629e-11 1.11033731e-11 6.29736953e-12 6.94513378e-12 2.65560008e-12 1.85591771e-12 1.60702176e-12 5.03268956e-12 4.51744568e-12 4.23112648e-12 3.92272170e-12 3.59061803e-12 2.89189734e-12 2.45512558e-12 2.11550368e-12 1.83941304e-12 1.62289506e-12 1.42407057e-12 1.44185833e-12 1.46598529e-12 1.18566932e-12 1.00023324e-12
